Timeline,Start time,Duration,Row,Instance number,OUTCOME,PLAYER'S NAME,Shot Direction,Stroke,Ungrouped,Notes,Flags
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1498.597380512999,13.702153609900733,RALLY,43,,,,,,clear - defend,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1527.795625113999,8.4373077883306,RALLY,44,,,,,,clear - hard drive,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1612.3953140670008,10.432802444886647,RALLY,45,,,,,,smash - smash,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1635.9950555599992,5.836014595109873,RALLY,46,,,,,,smash - smash,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1652.5945515899998,15.741498418728952,RALLY,47,,,,,,block - smash,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1688.7931137309993,10.503619124044462,RALLY,48,,,,,,smash - block,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1711.0949224779995,7.947718730515362,RALLY,49,,,,,,defend - defend,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1732.3948822839993,4.722900251588953,RALLY,50,,,,,,receive serves,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1749.195051338,25.631019652174473,RALLY,51,,,,,,drop - smash,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1794.9949193940001,14.279395159985825,RALLY,52,,,,,,block - smash,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),1840.5960101940002,9.028516098873297,RALLY,53,,,,,,hard drive - block,
